city, number_of_cases 
g.Nur-Sultan,2416(+37)
g.Almaty,2821(+31)
g.Shymkent,932(+8)
Akmolinskajaoblast',174(+2)
Aktjubinskajaoblast',388(+15)
Almatinskajaoblast',422(+9)
Atyrauskajaoblast',1196(+11)
Vostochno-Kazahstanskajaoblast',177(+9)
Zhambylskajaoblast',421(+9)
Zapadno-Kazahstanskajaoblast',784(+8)
Karagandinskajaoblast',1105(+33)
Kostanajskajaoblast',198(+3)
Kyzylordinskajaoblast',456(+4)
Mangistauskajaoblast',323(+4)
Pavlodarskajaoblast',242(+13)
Severo-Kazahstanskajaoblast',64
Turkestanskajaoblast',392(+3)
